StoryHeight,lat,lon,wayid,sunlight(hours),roofsize(sqft),avg_elec_bill,recommended_panel,recommended_sqft,height
2,42.2714675,-71.4322323,213264090,1333,705,100,5.25 kW,370,
1,42.2757363,-71.4518747,213269313,999,617,100,7.25 kW,511,
1,42.2892733,-71.4049584,213251981,1468,1409,100,4.5 kW,317,
2.6,42.2724646,-71.4255097,213262300,1489,1304,100,4.5 kW,317,
1,42.3087674,-71.4047265,213251802,1181,987,100,6 kW,423,
2,42.282449,-71.4104319,213254616,1375,810,100,4.75 kW,335,
2,42.2860772,-71.408762,213253830,1374,388,100,5.5 kW,388,
1,42.2693356,-71.425913,213262482,1446,6695,100,4.5 kW,317,
2,42.2832912,-71.4068486,213252732,1076,705,100,6.5 kW,458,
2,42.2749773,-71.4118235,213255263,1267,775,100,5.25 kW,370,
2,42.2696108,-71.4273621,213262915,1350,1163,100,5 kW,352,
1,42.3081265,-71.3967392,213249074,1310,846,100,5.25 kW,370,
1,42.3136098,-71.4848029,213273144,1291,1427,100,5 kW,352,
1,42.3072598,-71.4061645,213252472,1183,1462,100,5.75 kW,405,
1,42.3098698,-71.3983974,213249355,1221,793,100,5.5 kW,388,
1,42.2760132,-71.4152328,213257467,1359,2572,100,4.75 kW,335,
2,42.3088271,-71.4827855,213272895,1440,1269,100,4.75 kW,335,
2.5,42.2728888,-71.4155806,213257565,1434,899,100,4.75 kW,335,
1,42.3085602,-71.4101536,213254529,1386,1885,100,4.75 kW,335,
1,42.3020094,-71.4033581,466032181,1376,5497,100,4.75 kW,335,
1,42.3040009,-71.4082518,213253485,1062,669,100,7 kW,493,
1,42.3022745,-71.4497644,213268947,1429,1092,100,4.5 kW,317,
1,42.3050018,-71.4141195,213257034,1379,1409,100,5 kW,352,
2,42.3059054,-71.4335472,213264448,1111,1180,100,6.25 kW,440,
2,42.3089591,-71.4000668,213250013,1175,581,100,6.25 kW,440,
1,42.2785669,-71.4120322,213254900,1369,3312,100,4.75 kW,335,
2,42.2749921,-71.4379368,213265885,1237,493,100,6.5 kW,458,
2.5,42.2720493,-71.4136789,213256881,1484,687,100,4.5 kW,317,
2.5,42.2734499,-71.4336238,213264499,1319,1445,100,5 kW,352,
2,42.270544,-71.4400708,213266495,1310,1057,100,5 kW,352,
